SIMFIT RESULTS
==============

Dataset : \\biomolmed1.med.ic.ac.uk\Data_Archives2\ALZ\Urine/ALZ_Urine_Rack01_RCM_221214/10/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 310 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.259e+000    4.728e-002  
T     =       3.949s       39.767s  

RSS   =   2.562e-003
SD    =   9.241e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.024e+000    2.360e-002
    2       2.000s    8.272e-001    8.038e-001   -2.341e-002
    3       3.000s    6.548e-001    6.329e-001   -2.190e-002
    4       4.000s    5.076e-001    5.000e-001   -7.589e-003
    5       5.000s    3.906e-001    3.967e-001    6.060e-003
    6       6.000s    3.023e-001    3.162e-001    1.390e-002
    7       7.000s    2.386e-001    2.536e-001    1.497e-002
    8       8.000s    1.928e-001    2.047e-001    1.196e-002
    9       9.000s    1.589e-001    1.666e-001    7.715e-003
   10      10.000s    1.338e-001    1.368e-001    3.052e-003
   11      11.000s    1.152e-001    1.135e-001   -1.614e-003
   12      12.000s    1.002e-001    9.527e-002   -4.970e-003
   13      13.000s    8.729e-002    8.091e-002   -6.383e-003
   14      14.000s    7.631e-002    6.959e-002   -6.720e-003
   15      15.000s    6.731e-002    6.063e-002   -6.672e-003
   16      16.000s    5.939e-002    5.352e-002   -5.873e-003
   17      17.000s    5.212e-002    4.783e-002   -4.284e-003
   18      18.000s    4.610e-002    4.327e-002   -2.835e-003
   19      19.000s    4.161e-002    3.957e-002   -2.039e-003
   20      20.000s    3.787e-002    3.655e-002   -1.327e-003
   21      21.000s    3.435e-002    3.406e-002   -2.902e-004
   22      22.000s    3.136e-002    3.198e-002    6.223e-004
   23      23.000s    2.913e-002    3.024e-002    1.107e-003
   24      24.000s    2.719e-002    2.875e-002    1.557e-003
   25      25.000s    2.528e-002    2.746e-002    2.178e-003
   26      26.000s    2.379e-002    2.633e-002    2.544e-003
   27      27.000s    2.290e-002    2.533e-002    2.427e-003
   28      28.000s    2.229e-002    2.443e-002    2.138e-003
   29      29.000s    2.186e-002    2.362e-002    1.754e-003
   30      30.000s    2.205e-002    2.287e-002    8.142e-004

============================================================

