SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/140/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 143 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.451e+000    8.641e-003  
T     =       2.831s      317.490s  

RSS   =   5.348e-003
SD    =   1.335e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.028e+000    2.769e-002
    2       2.000s    7.629e-001    7.244e-001   -3.857e-002
    3       3.000s    5.372e-001    5.113e-001   -2.585e-002
    4       4.000s    3.597e-001    3.617e-001    1.984e-003
    5       5.000s    2.366e-001    2.566e-001    1.990e-002
    6       6.000s    1.588e-001    1.827e-001    2.391e-002
    7       7.000s    1.110e-001    1.308e-001    1.979e-002
    8       8.000s    8.133e-002    9.438e-002    1.305e-002
    9       9.000s    6.411e-002    6.877e-002    4.667e-003
   10      10.000s    5.545e-002    5.078e-002   -4.670e-003
   11      11.000s    4.965e-002    3.813e-002   -1.152e-002
   12      12.000s    4.289e-002    2.924e-002   -1.365e-002
   13      13.000s    3.593e-002    2.299e-002   -1.294e-002
   14      14.000s    3.034e-002    1.859e-002   -1.175e-002
   15      15.000s    2.521e-002    1.549e-002   -9.722e-003
   16      16.000s    1.960e-002    1.331e-002   -6.295e-003
   17      17.000s    1.476e-002    1.177e-002   -2.992e-003
   18      18.000s    1.178e-002    1.068e-002   -1.099e-003
   19      19.000s    9.733e-003    9.904e-003    1.706e-004
   20      20.000s    7.846e-003    9.353e-003    1.507e-003
   21      21.000s    6.885e-003    8.959e-003    2.074e-003
   22      22.000s    7.041e-003    8.674e-003    1.633e-003
   23      23.000s    6.907e-003    8.467e-003    1.560e-003
   24      24.000s    5.859e-003    8.314e-003    2.454e-003
   25      25.000s    5.078e-003    8.199e-003    3.120e-003
   26      26.000s    5.166e-003    8.110e-003    2.945e-003
   27      27.000s    5.121e-003    8.041e-003    2.920e-003
   28      28.000s    4.538e-003    7.985e-003    3.447e-003
   29      29.000s    4.367e-003    7.938e-003    3.571e-003
   30      30.000s    4.797e-003    7.898e-003    3.101e-003

============================================================

