SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/20/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.363e+000    -9.817e-002  
T     =       4.694s        4.512s  

RSS   =   4.309e-002
SD    =   3.790e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.023e+000    2.309e-002
    2       2.000s    8.935e-001    8.273e-001   -6.612e-002
    3       3.000s    7.869e-001    6.690e-001   -1.178e-001
    4       4.000s    6.255e-001    5.410e-001   -8.451e-002
    5       5.000s    4.502e-001    4.375e-001   -1.271e-002
    6       6.000s    3.242e-001    3.538e-001    2.958e-002
    7       7.000s    2.430e-001    2.861e-001    4.310e-002
    8       8.000s    1.725e-001    2.314e-001    5.882e-002
    9       9.000s    1.161e-001    1.871e-001    7.099e-002
   10      10.000s    9.082e-002    1.513e-001    6.046e-002
   11      11.000s    8.171e-002    1.223e-001    4.062e-002
   12      12.000s    6.511e-002    9.892e-002    3.381e-002
   13      13.000s    4.731e-002    7.999e-002    3.268e-002
   14      14.000s    4.336e-002    6.468e-002    2.132e-002
   15      15.000s    4.375e-002    5.230e-002    8.549e-003
   16      16.000s    3.352e-002    4.229e-002    8.767e-003
   17      17.000s    2.112e-002    3.420e-002    1.308e-002
   18      18.000s    2.012e-002    2.765e-002    7.530e-003
   19      19.000s    2.267e-002    2.236e-002   -3.111e-004
   20      20.000s    1.621e-002    1.808e-002    1.864e-003
   21      21.000s    7.929e-003    1.462e-002    6.690e-003
   22      22.000s    9.386e-003    1.182e-002    2.434e-003
   23      23.000s    1.396e-002    9.558e-003   -4.404e-003
   24      24.000s    1.070e-002    7.728e-003   -2.974e-003
   25      25.000s    5.068e-003    6.249e-003    1.181e-003
   26      26.000s    6.459e-003    5.053e-003   -1.407e-003
   27      27.000s    9.933e-003    4.085e-003   -5.848e-003
   28      28.000s    8.288e-003    3.303e-003   -4.984e-003
   29      29.000s    7.811e-003    2.671e-003   -5.140e-003
   30      30.000s    1.482e-002    2.159e-003   -1.266e-002

============================================================

