SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/220/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   7.964e-001    -2.802e-002  
T     =       4.290s       -3.903s  

RSS   =   1.862e+003
SD    =   7.877e+000

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    5.946e-001   -4.054e-001
    2       2.000s    7.641e-001    4.529e-001   -3.113e-001
    3       3.000s    4.400e-001    3.353e-001   -1.047e-001
    4       4.000s    1.976e-001    2.354e-001    3.780e-002
    5       5.000s    1.065e-001    1.474e-001    4.095e-002
    6       6.000s    1.007e-001    6.631e-002   -3.440e-002
    7       7.000s    9.075e-002    -1.265e-002   -1.034e-001
    8       8.000s    6.018e-002    -9.423e-002   -1.544e-001
    9       9.000s    3.998e-002    -1.834e-001   -2.234e-001
   10      10.000s    3.827e-002    -2.859e-001   -3.241e-001
   11      11.000s    3.547e-002    -4.081e-001   -4.435e-001
   12      12.000s    2.456e-002    -5.579e-001   -5.825e-001
   13      13.000s    1.739e-002    -7.451e-001   -7.625e-001
   14      14.000s    1.758e-002    -9.820e-001   -9.996e-001
   15      15.000s    1.559e-002    -1.284e+000   -1.300e+000
   16      16.000s    8.728e-003    -1.671e+000   -1.680e+000
   17      17.000s    4.769e-003    -2.169e+000   -2.174e+000
   18      18.000s    5.770e-003    -2.810e+000   -2.816e+000
   19      19.000s    5.241e-003    -3.636e+000   -3.642e+000
   20      20.000s    1.692e-003    -4.703e+000   -4.705e+000
   21      21.000s    7.262e-004    -6.081e+000   -6.081e+000
   22      22.000s    3.254e-003    -7.860e+000   -7.863e+000
   23      23.000s    3.916e-003    -1.016e+001   -1.016e+001
   24      24.000s    1.715e-003    -1.313e+001   -1.313e+001
   25      25.000s    1.406e-003    -1.696e+001   -1.696e+001
   26      26.000s    3.821e-003    -2.192e+001   -2.192e+001
   27      27.000s    4.543e-003    -2.832e+001   -2.832e+001
   28      28.000s    2.818e-003    -3.659e+001   -3.659e+001
   29      29.000s    2.896e-003    -4.728e+001   -4.728e+001
   30      30.000s    5.850e-003    -6.109e+001   -6.109e+001

============================================================

