SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/250/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 402 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   2.039e+000    -6.978e-001  
T     =       1.682s      559.804m  

RSS   =   7.483e-003
SD    =   1.579e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.008e+000    8.008e-003
    2       2.000s    6.322e-001    6.011e-001   -3.115e-002
    3       3.000s    3.182e-001    3.392e-001    2.100e-002
    4       4.000s    1.536e-001    1.884e-001    3.481e-002
    5       5.000s    1.001e-001    1.042e-001    4.044e-003
    6       6.000s    7.707e-002    5.751e-002   -1.956e-002
    7       7.000s    5.334e-002    3.174e-002   -2.160e-002
    8       8.000s    4.027e-002    1.751e-002   -2.276e-002
    9       9.000s    3.985e-002    9.663e-003   -3.019e-002
   10      10.000s    3.671e-002    5.331e-003   -3.138e-002
   11      11.000s    2.571e-002    2.942e-003   -2.277e-002
   12      12.000s    1.677e-002    1.623e-003   -1.515e-002
   13      13.000s    1.447e-002    8.955e-004   -1.358e-002
   14      14.000s    1.254e-002    4.941e-004   -1.205e-002
   15      15.000s    7.906e-003    2.726e-004   -7.633e-003
   16      16.000s    5.068e-003    1.504e-004   -4.917e-003
   17      17.000s    5.704e-003    8.300e-005   -5.621e-003
   18      18.000s    5.714e-003    4.579e-005   -5.669e-003
   19      19.000s    3.676e-003    2.527e-005   -3.650e-003
   20      20.000s    2.920e-003    1.394e-005   -2.906e-003
   21      21.000s    4.315e-003    7.692e-006   -4.308e-003
   22      22.000s    4.769e-003    4.244e-006   -4.764e-003
   23      23.000s    3.574e-003    2.342e-006   -3.572e-003
   24      24.000s    3.485e-003    1.292e-006   -3.484e-003
   25      25.000s    4.937e-003    7.129e-007   -4.936e-003
   26      26.000s    5.241e-003    3.934e-007   -5.241e-003
   27      27.000s    4.045e-003    2.170e-007   -4.045e-003
   28      28.000s    4.156e-003    1.198e-007   -4.156e-003
   29      29.000s    6.431e-003    6.607e-008   -6.431e-003
   30      30.000s    8.798e-003    3.646e-008   -8.798e-003

============================================================

