SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/290/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 6765 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.734e+002    -1.722e+002  
T     =      10.196s       10.220s  

RSS   =   5.244e-002
SD    =   4.181e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.107e+000    1.075e-001
    2       2.000s    9.541e-001    9.716e-001    1.753e-002
    3       3.000s    8.988e-001    8.515e-001   -4.732e-002
    4       4.000s    8.199e-001    7.453e-001   -7.458e-002
    5       5.000s    7.248e-001    6.515e-001   -7.326e-002
    6       6.000s    6.271e-001    5.687e-001   -5.834e-002
    7       7.000s    5.339e-001    4.957e-001   -3.816e-002
    8       8.000s    4.475e-001    4.314e-001   -1.609e-002
    9       9.000s    3.693e-001    3.748e-001    5.448e-003
   10      10.000s    3.000e-001    3.250e-001    2.492e-002
   11      11.000s    2.403e-001    2.812e-001    4.092e-002
   12      12.000s    1.920e-001    2.427e-001    5.069e-002
   13      13.000s    1.566e-001    2.090e-001    5.236e-002
   14      14.000s    1.316e-001    1.795e-001    4.792e-002
   15      15.000s    1.124e-001    1.536e-001    4.124e-002
   16      16.000s    9.708e-002    1.310e-001    3.396e-002
   17      17.000s    8.549e-002    1.113e-001    2.584e-002
   18      18.000s    7.646e-002    9.416e-002    1.771e-002
   19      19.000s    6.816e-002    7.923e-002    1.107e-002
   20      20.000s    6.059e-002    6.626e-002    5.666e-003
   21      21.000s    5.492e-002    5.502e-002    1.039e-004
   22      22.000s    5.110e-002    4.530e-002   -5.792e-003
   23      23.000s    4.819e-002    3.692e-002   -1.126e-002
   24      24.000s    4.618e-002    2.971e-002   -1.647e-002
   25      25.000s    4.556e-002    2.352e-002   -2.204e-002
   26      26.000s    4.590e-002    1.823e-002   -2.767e-002
   27      27.000s    4.657e-002    1.372e-002   -3.285e-002
   28      28.000s    4.794e-002    9.894e-003   -3.805e-002
   29      29.000s    5.011e-002    6.663e-003   -4.345e-002
   30      30.000s    5.170e-002    3.948e-003   -4.775e-002

============================================================

