SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/330/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 4597 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   3.659e+000    -7.053e+003  
T     =       1.108s      104.314m  

RSS   =   1.145e-002
SD    =   1.953e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.000e+000    1.709e-005
    2       2.000s    6.053e-001    6.020e-001   -3.291e-003
    3       3.000s    2.425e-001    2.442e-001    1.643e-003
    4       4.000s    6.686e-002    9.905e-002    3.219e-002
    5       5.000s    4.877e-002    4.018e-002   -8.593e-003
    6       6.000s    6.503e-002    1.630e-002   -4.873e-002
    7       7.000s    5.341e-002    6.610e-003   -4.680e-002
    8       8.000s    3.630e-002    2.681e-003   -3.362e-002
    9       9.000s    3.670e-002    1.088e-003   -3.562e-002
   10      10.000s    3.914e-002    4.411e-004   -3.870e-002
   11      11.000s    2.902e-002    1.789e-004   -2.884e-002
   12      12.000s    1.768e-002    7.258e-005   -1.761e-002
   13      13.000s    1.563e-002    2.944e-005   -1.560e-002
   14      14.000s    1.424e-002    1.194e-005   -1.423e-002
   15      15.000s    6.091e-003    4.843e-006   -6.087e-003
   16      16.000s    -7.324e-004    1.965e-006    7.343e-004
   17      17.000s    6.749e-004    7.969e-007   -6.741e-004
   18      18.000s    3.785e-003    3.232e-007   -3.785e-003
   19      19.000s    2.347e-003    1.311e-007   -2.347e-003
   20      20.000s    9.574e-004    5.318e-008   -9.573e-004
   21      21.000s    3.824e-003    2.157e-008   -3.824e-003
   22      22.000s    6.059e-003    8.749e-009   -6.059e-003
   23      23.000s    3.682e-003    3.549e-009   -3.682e-003
   24      24.000s    1.263e-003    1.440e-009   -1.263e-003
   25      25.000s    2.879e-003    5.839e-010   -2.879e-003
   26      26.000s    4.939e-003    2.368e-010   -4.939e-003
   27      27.000s    3.929e-003    9.607e-011   -3.929e-003
   28      28.000s    2.938e-003    3.897e-011   -2.938e-003
   29      29.000s    5.118e-003    1.581e-011   -5.118e-003
   30      30.000s    8.080e-003    6.411e-012   -8.080e-003

============================================================

