SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/340/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.497e+000    7.440e-003  
T     =       2.635s     9772.090s  

RSS   =   7.065e-003
SD    =   1.535e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.031e+000    3.141e-002
    2       2.000s    7.517e-001    7.080e-001   -4.366e-002
    3       3.000s    5.152e-001    4.868e-001   -2.848e-002
    4       4.000s    3.381e-001    3.354e-001   -2.680e-003
    5       5.000s    2.107e-001    2.318e-001    2.110e-002
    6       6.000s    1.281e-001    1.610e-001    3.284e-002
    7       7.000s    8.674e-002    1.125e-001    2.572e-002
    8       8.000s    6.671e-002    7.930e-002    1.259e-002
    9       9.000s    5.032e-002    5.660e-002    6.282e-003
   10      10.000s    3.973e-002    4.107e-002    1.342e-003
   11      11.000s    3.928e-002    3.045e-002   -8.829e-003
   12      12.000s    3.938e-002    2.318e-002   -1.620e-002
   13      13.000s    3.189e-002    1.820e-002   -1.368e-002
   14      14.000s    2.382e-002    1.480e-002   -9.021e-003
   15      15.000s    2.259e-002    1.247e-002   -1.011e-002
   16      16.000s    2.231e-002    1.088e-002   -1.143e-002
   17      17.000s    1.640e-002    9.788e-003   -6.610e-003
   18      18.000s    1.011e-002    9.042e-003   -1.069e-003
   19      19.000s    9.606e-003    8.531e-003   -1.075e-003
   20      20.000s    1.052e-002    8.181e-003   -2.340e-003
   21      21.000s    7.463e-003    7.941e-003    4.782e-004
   22      22.000s    4.255e-003    7.777e-003    3.522e-003
   23      23.000s    5.454e-003    7.665e-003    2.211e-003
   24      24.000s    7.303e-003    7.588e-003    2.842e-004
   25      25.000s    5.575e-003    7.534e-003    1.960e-003
   26      26.000s    3.602e-003    7.498e-003    3.896e-003
   27      27.000s    4.899e-003    7.473e-003    2.574e-003
   28      28.000s    6.123e-003    7.455e-003    1.332e-003
   29      29.000s    4.298e-003    7.443e-003    3.145e-003
   30      30.000s    2.943e-003    7.434e-003    4.491e-003

============================================================

