SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/350/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   7.994e-001    -1.743e-002  
T     =       4.014s      -10.082s  

RSS   =   4.206e-001
SD    =   1.184e-001

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    6.039e-001   -3.961e-001
    2       2.000s    7.664e-001    4.644e-001   -3.019e-001
    3       3.000s    4.312e-001    3.551e-001   -7.605e-002
    4       4.000s    1.744e-001    2.692e-001    9.476e-002
    5       5.000s    7.674e-002    2.014e-001    1.247e-001
    6       6.000s    7.722e-002    1.477e-001    7.048e-002
    7       7.000s    8.238e-002    1.049e-001    2.248e-002
    8       8.000s    6.607e-002    7.040e-002    4.336e-003
    9       9.000s    5.192e-002    4.236e-002   -9.555e-003
   10      10.000s    4.894e-002    1.920e-002   -2.974e-002
   11      11.000s    4.340e-002    -2.995e-004   -4.370e-002
   12      12.000s    3.158e-002    -1.709e-002   -4.866e-002
   13      13.000s    2.412e-002    -3.193e-002   -5.606e-002
   14      14.000s    2.327e-002    -4.544e-002   -6.871e-002
   15      15.000s    2.025e-002    -5.812e-002   -7.836e-002
   16      16.000s    1.325e-002    -7.036e-002   -8.362e-002
   17      17.000s    9.304e-003    -8.252e-002   -9.183e-002
   18      18.000s    9.621e-003    -9.489e-002   -1.045e-001
   19      19.000s    8.188e-003    -1.077e-001   -1.159e-001
   20      20.000s    4.145e-003    -1.212e-001   -1.254e-001
   21      21.000s    2.866e-003    -1.356e-001   -1.385e-001
   22      22.000s    5.038e-003    -1.512e-001   -1.562e-001
   23      23.000s    5.633e-003    -1.680e-001   -1.737e-001
   24      24.000s    3.598e-003    -1.864e-001   -1.900e-001
   25      25.000s    2.991e-003    -2.065e-001   -2.095e-001
   26      26.000s    4.529e-003    -2.285e-001   -2.331e-001
   27      27.000s    4.624e-003    -2.528e-001   -2.574e-001
   28      28.000s    2.948e-003    -2.794e-001   -2.824e-001
   29      29.000s    3.239e-003    -3.088e-001   -3.120e-001
   30      30.000s    6.221e-003    -3.412e-001   -3.474e-001

============================================================

