SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/360/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   9.446e-001    -1.395e-001  
T     =       4.802s        4.205s  

RSS   =   2.365e-001
SD    =   8.879e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    6.570e-001   -3.430e-001
    2       2.000s    7.131e-001    5.361e-001   -1.770e-001
    3       3.000s    4.414e-001    4.373e-001   -4.076e-003
    4       4.000s    2.496e-001    3.567e-001    1.072e-001
    5       5.000s    1.372e-001    2.909e-001    1.537e-001
    6       6.000s    8.156e-002    2.372e-001    1.557e-001
    7       7.000s    6.139e-002    1.934e-001    1.320e-001
    8       8.000s    5.563e-002    1.577e-001    1.021e-001
    9       9.000s    4.817e-002    1.285e-001    8.037e-002
   10      10.000s    3.824e-002    1.048e-001    6.652e-002
   11      11.000s    3.330e-002    8.537e-002    5.207e-002
   12      12.000s    3.272e-002    6.956e-002    3.683e-002
   13      13.000s    2.911e-002    5.667e-002    2.756e-002
   14      14.000s    2.191e-002    4.617e-002    2.426e-002
   15      15.000s    1.751e-002    3.760e-002    2.009e-002
   16      16.000s    1.708e-002    3.063e-002    1.355e-002
   17      17.000s    1.534e-002    2.494e-002    9.606e-003
   18      18.000s    1.101e-002    2.031e-002    9.303e-003
   19      19.000s    8.576e-003    1.654e-002    7.961e-003
   20      20.000s    9.322e-003    1.346e-002    4.143e-003
   21      21.000s    9.348e-003    1.096e-002    1.613e-003
   22      22.000s    7.289e-003    8.923e-003    1.634e-003
   23      23.000s    6.258e-003    7.263e-003    1.005e-003
   24      24.000s    7.242e-003    5.911e-003   -1.331e-003
   25      25.000s    7.436e-003    4.811e-003   -2.625e-003
   26      26.000s    6.142e-003    3.915e-003   -2.227e-003
   27      27.000s    6.130e-003    3.186e-003   -2.944e-003
   28      28.000s    8.166e-003    2.592e-003   -5.573e-003
   29      29.000s    9.814e-003    2.109e-003   -7.705e-003
   30      30.000s    1.058e-002    1.716e-003   -8.867e-003

============================================================

