SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/540/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 6844 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.681e+002    -1.668e+002  
T     =       5.618s        5.628s  

RSS   =   5.174e-003
SD    =   1.313e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.029e+000    2.947e-002
    2       2.000s    8.362e-001    8.267e-001   -9.484e-003
    3       3.000s    6.859e-001    6.627e-001   -2.325e-002
    4       4.000s    5.579e-001    5.302e-001   -2.770e-002
    5       5.000s    4.423e-001    4.233e-001   -1.901e-002
    6       6.000s    3.374e-001    3.371e-001   -2.570e-004
    7       7.000s    2.525e-001    2.678e-001    1.523e-002
    8       8.000s    1.915e-001    2.121e-001    2.062e-002
    9       9.000s    1.472e-001    1.675e-001    2.021e-002
   10      10.000s    1.137e-001    1.317e-001    1.800e-002
   11      11.000s    9.019e-002    1.032e-001    1.300e-002
   12      12.000s    7.430e-002    8.046e-002    6.163e-003
   13      13.000s    6.053e-002    6.240e-002    1.872e-003
   14      14.000s    4.718e-002    4.809e-002    9.019e-004
   15      15.000s    3.737e-002    3.678e-002   -5.863e-004
   16      16.000s    3.179e-002    2.788e-002   -3.904e-003
   17      17.000s    2.696e-002    2.091e-002   -6.050e-003
   18      18.000s    2.131e-002    1.547e-002   -5.846e-003
   19      19.000s    1.714e-002    1.124e-002   -5.895e-003
   20      20.000s    1.540e-002    7.984e-003   -7.421e-003
   21      21.000s    1.388e-002    5.489e-003   -8.388e-003
   22      22.000s    1.145e-002    3.595e-003   -7.859e-003
   23      23.000s    9.800e-003    2.172e-003   -7.627e-003
   24      24.000s    9.600e-003    1.118e-003   -8.482e-003
   25      25.000s    9.257e-003    3.496e-004   -8.907e-003
   26      26.000s    8.169e-003    -1.982e-004   -8.367e-003
   27      27.000s    7.670e-003    -5.768e-004   -8.247e-003
   28      28.000s    8.107e-003    -8.267e-004   -8.934e-003
   29      29.000s    8.551e-003    -9.799e-004   -9.531e-003
   30      30.000s    9.852e-003    -1.061e-003   -1.091e-002

============================================================

