SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/570/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.679e+000    -4.616e-001  
T     =       1.926s       30.433m  

RSS   =   1.550e-002
SD    =   2.273e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    9.991e-001   -9.035e-004
    2       2.000s    6.252e-001    5.944e-001   -3.075e-002
    3       3.000s    3.067e-001    3.537e-001    4.699e-002
    4       4.000s    1.618e-001    2.104e-001    4.867e-002
    5       5.000s    1.333e-001    1.252e-001   -8.098e-003
    6       6.000s    1.154e-001    7.450e-002   -4.087e-002
    7       7.000s    7.973e-002    4.432e-002   -3.540e-002
    8       8.000s    5.622e-002    2.637e-002   -2.985e-002
    9       9.000s    5.265e-002    1.569e-002   -3.695e-002
   10      10.000s    4.751e-002    9.336e-003   -3.818e-002
   11      11.000s    3.447e-002    5.555e-003   -2.892e-002
   12      12.000s    2.689e-002    3.305e-003   -2.358e-002
   13      13.000s    2.678e-002    1.966e-003   -2.481e-002
   14      14.000s    2.253e-002    1.170e-003   -2.136e-002
   15      15.000s    1.318e-002    6.961e-004   -1.248e-002
   16      16.000s    9.151e-003    4.142e-004   -8.737e-003
   17      17.000s    1.124e-002    2.464e-004   -1.099e-002
   18      18.000s    1.007e-002    1.466e-004   -9.924e-003
   19      19.000s    4.641e-003    8.724e-005   -4.554e-003
   20      20.000s    3.133e-003    5.190e-005   -3.081e-003
   21      21.000s    6.501e-003    3.088e-005   -6.470e-003
   22      22.000s    7.222e-003    1.837e-005   -7.203e-003
   23      23.000s    3.829e-003    1.093e-005   -3.818e-003
   24      24.000s    2.593e-003    6.505e-006   -2.586e-003
   25      25.000s    4.906e-003    3.870e-006   -4.902e-003
   26      26.000s    5.528e-003    2.303e-006   -5.526e-003
   27      27.000s    3.507e-003    1.370e-006   -3.506e-003
   28      28.000s    3.671e-003    8.152e-007   -3.670e-003
   29      29.000s    6.949e-003    4.850e-007   -6.948e-003
   30      30.000s    9.139e-003    2.886e-007   -9.139e-003

============================================================

