SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/580/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 3674 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.888e+000    -1.303e+004  
T     =       2.143s       89.535m  

RSS   =   1.319e-002
SD    =   2.097e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.000e+000    3.948e-006
    2       2.000s    7.572e-001    7.423e-001   -1.485e-002
    3       3.000s    4.684e-001    4.655e-001   -2.943e-003
    4       4.000s    2.496e-001    2.919e-001    4.233e-002
    5       5.000s    1.455e-001    1.830e-001    3.754e-002
    6       6.000s    1.172e-001    1.148e-001   -2.450e-003
    7       7.000s    1.043e-001    7.197e-002   -3.234e-002
    8       8.000s    8.316e-002    4.513e-002   -3.803e-002
    9       9.000s    6.381e-002    2.830e-002   -3.551e-002
   10      10.000s    5.415e-002    1.775e-002   -3.640e-002
   11      11.000s    4.760e-002    1.113e-002   -3.647e-002
   12      12.000s    3.836e-002    6.978e-003   -3.139e-002
   13      13.000s    2.965e-002    4.376e-003   -2.527e-002
   14      14.000s    2.469e-002    2.744e-003   -2.195e-002
   15      15.000s    2.082e-002    1.721e-003   -1.910e-002
   16      16.000s    1.555e-002    1.079e-003   -1.447e-002
   17      17.000s    1.094e-002    6.766e-004   -1.026e-002
   18      18.000s    9.001e-003    4.243e-004   -8.577e-003
   19      19.000s    8.233e-003    2.660e-004   -7.967e-003
   20      20.000s    6.996e-003    1.668e-004   -6.829e-003
   21      21.000s    6.151e-003    1.046e-004   -6.046e-003
   22      22.000s    6.409e-003    6.560e-005   -6.343e-003
   23      23.000s    6.554e-003    4.114e-005   -6.513e-003
   24      24.000s    5.870e-003    2.580e-005   -5.844e-003
   25      25.000s    5.393e-003    1.618e-005   -5.377e-003
   26      26.000s    5.624e-003    1.014e-005   -5.614e-003
   27      27.000s    5.632e-003    6.360e-006   -5.625e-003
   28      28.000s    5.325e-003    3.988e-006   -5.321e-003
   29      29.000s    6.060e-003    2.501e-006   -6.057e-003
   30      30.000s    8.226e-003    1.568e-006   -8.224e-003

============================================================

