SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/660/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 391 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.321e+000    9.902e-005  
T     =       4.417s       -5.537s  

RSS   =   1.511e-002
SD    =   2.244e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.053e+000    5.315e-002
    2       2.000s    8.517e-001    8.398e-001   -1.192e-002
    3       3.000s    7.194e-001    6.697e-001   -4.971e-002
    4       4.000s    5.935e-001    5.341e-001   -5.943e-002
    5       5.000s    4.590e-001    4.260e-001   -3.300e-002
    6       6.000s    3.289e-001    3.398e-001    1.086e-002
    7       7.000s    2.305e-001    2.710e-001    4.056e-002
    8       8.000s    1.730e-001    2.163e-001    4.325e-002
    9       9.000s    1.426e-001    1.726e-001    2.998e-002
   10      10.000s    1.216e-001    1.378e-001    1.622e-002
   11      11.000s    1.021e-001    1.102e-001    8.061e-003
   12      12.000s    8.351e-002    8.812e-002    4.611e-003
   13      13.000s    6.670e-002    7.061e-002    3.910e-003
   14      14.000s    5.261e-002    5.672e-002    4.116e-003
   15      15.000s    4.214e-002    4.573e-002    3.582e-003
   16      16.000s    3.507e-002    3.706e-002    1.991e-003
   17      17.000s    3.016e-002    3.026e-002    1.002e-004
   18      18.000s    2.665e-002    2.499e-002   -1.660e-003
   19      19.000s    2.410e-002    2.095e-002   -3.158e-003
   20      20.000s    2.187e-002    1.793e-002   -3.941e-003
   21      21.000s    1.969e-002    1.577e-002   -3.928e-003
   22      22.000s    1.822e-002    1.433e-002   -3.890e-003
   23      23.000s    1.771e-002    1.354e-002   -4.173e-003
   24      24.000s    1.728e-002    1.332e-002   -3.961e-003
   25      25.000s    1.642e-002    1.365e-002   -2.770e-003
   26      26.000s    1.597e-002    1.451e-002   -1.463e-003
   27      27.000s    1.666e-002    1.591e-002   -7.526e-004
   28      28.000s    1.785e-002    1.789e-002    4.239e-005
   29      29.000s    1.884e-002    2.050e-002    1.651e-003
   30      30.000s    2.035e-002    2.381e-002    3.456e-003

============================================================

