SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/710/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 335 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.430e+000    1.096e-001  
T     =       2.294s       10.019s  

RSS   =   6.637e-003
SD    =   1.487e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.024e+000    2.363e-002
    2       2.000s    7.448e-001    6.875e-001   -5.725e-002
    3       3.000s    4.669e-001    4.678e-001    8.832e-004
    4       4.000s    2.838e-001    3.235e-001    3.962e-002
    5       5.000s    2.053e-001    2.282e-001    2.282e-002
    6       6.000s    1.674e-001    1.647e-001   -2.699e-003
    7       7.000s    1.288e-001    1.221e-001   -6.707e-003
    8       8.000s    9.695e-002    9.302e-002   -3.932e-003
    9       9.000s    8.212e-002    7.289e-002   -9.235e-003
   10      10.000s    7.236e-002    5.866e-002   -1.370e-002
   11      11.000s    5.733e-002    4.837e-002   -8.963e-003
   12      12.000s    4.370e-002    4.072e-002   -2.979e-003
   13      13.000s    3.757e-002    3.488e-002   -2.689e-003
   14      14.000s    3.281e-002    3.029e-002   -2.519e-003
   15      15.000s    2.460e-002    2.659e-002    1.986e-003
   16      16.000s    1.813e-002    2.353e-002    5.397e-003
   17      17.000s    1.699e-002    2.095e-002    3.954e-003
   18      18.000s    1.612e-002    1.874e-002    2.620e-003
   19      19.000s    1.198e-002    1.681e-002    4.829e-003
   20      20.000s    8.769e-003    1.512e-002    6.352e-003
   21      21.000s    9.287e-003    1.362e-002    4.337e-003
   22      22.000s    9.666e-003    1.229e-002    2.626e-003
   23      23.000s    7.454e-003    1.110e-002    3.645e-003
   24      24.000s    6.215e-003    1.003e-002    3.813e-003
   25      25.000s    7.999e-003    9.065e-003    1.066e-003
   26      26.000s    9.242e-003    8.197e-003   -1.045e-003
   27      27.000s    7.947e-003    7.414e-003   -5.332e-004
   28      28.000s    7.639e-003    6.707e-003   -9.317e-004
   29      29.000s    1.059e-002    6.068e-003   -4.525e-003
   30      30.000s    1.381e-002    5.491e-003   -8.320e-003

============================================================

