SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/720/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.432e+000    9.025e-003  
T     =       2.945s    14427103434980.744s  

RSS   =   4.657e-003
SD    =   1.246e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.029e+000    2.891e-002
    2       2.000s    7.770e-001    7.353e-001   -4.167e-002
    3       3.000s    5.441e-001    5.262e-001   -1.786e-002
    4       4.000s    3.767e-001    3.773e-001    6.375e-004
    5       5.000s    2.632e-001    2.713e-001    8.072e-003
    6       6.000s    1.764e-001    1.958e-001    1.940e-002
    7       7.000s    1.176e-001    1.420e-001    2.437e-002
    8       8.000s    8.944e-002    1.037e-001    1.428e-002
    9       9.000s    7.391e-002    7.646e-002    2.548e-003
   10      10.000s    5.701e-002    5.704e-002    3.350e-005
   11      11.000s    4.460e-002    4.322e-002   -1.387e-003
   12      12.000s    4.186e-002    3.337e-002   -8.491e-003
   13      13.000s    3.956e-002    2.636e-002   -1.320e-002
   14      14.000s    3.102e-002    2.137e-002   -9.649e-003
   15      15.000s    2.327e-002    1.782e-002   -5.453e-003
   16      16.000s    2.182e-002    1.529e-002   -6.538e-003
   17      17.000s    2.059e-002    1.348e-002   -7.105e-003
   18      18.000s    1.495e-002    1.220e-002   -2.750e-003
   19      19.000s    1.045e-002    1.129e-002    8.339e-004
   20      20.000s    1.100e-002    1.063e-002   -3.673e-004
   21      21.000s    1.127e-002    1.017e-002   -1.100e-003
   22      22.000s    7.618e-003    9.841e-003    2.223e-003
   23      23.000s    5.034e-003    9.606e-003    4.572e-003
   24      24.000s    7.008e-003    9.439e-003    2.431e-003
   25      25.000s    8.971e-003    9.320e-003    3.485e-004
   26      26.000s    7.491e-003    9.235e-003    1.743e-003
   27      27.000s    6.259e-003    9.175e-003    2.915e-003
   28      28.000s    7.885e-003    9.131e-003    1.247e-003
   29      29.000s    8.997e-003    9.101e-003    1.035e-004
   30      30.000s    8.172e-003    9.079e-003    9.075e-004

============================================================

