SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack01_RCM_221214/820/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 169 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.496e+000    2.288e-001  
T     =       2.034s        2.034s  

RSS   =   2.946e-002
SD    =   3.134e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.055e+000    5.470e-002
    2       2.000s    7.627e-001    6.451e-001   -1.176e-001
    3       3.000s    4.219e-001    3.945e-001   -2.736e-002
    4       4.000s    1.699e-001    2.413e-001    7.142e-002
    5       5.000s    7.743e-002    1.476e-001    7.016e-002
    6       6.000s    6.911e-002    9.027e-002    2.116e-002
    7       7.000s    5.659e-002    5.521e-002   -1.380e-003
    8       8.000s    3.159e-002    3.377e-002    2.178e-003
    9       9.000s    2.312e-002    2.065e-002   -2.471e-003
   10      10.000s    2.908e-002    1.263e-002   -1.645e-002
   11      11.000s    2.701e-002    7.726e-003   -1.928e-002
   12      12.000s    1.627e-002    4.725e-003   -1.154e-002
   13      13.000s    1.187e-002    2.890e-003   -8.976e-003
   14      14.000s    1.396e-002    1.768e-003   -1.219e-002
   15      15.000s    1.173e-002    1.081e-003   -1.064e-002
   16      16.000s    6.096e-003    6.612e-004   -5.434e-003
   17      17.000s    5.744e-003    4.044e-004   -5.340e-003
   18      18.000s    8.603e-003    2.473e-004   -8.356e-003
   19      19.000s    6.396e-003    1.513e-004   -6.245e-003
   20      20.000s    1.178e-003    9.252e-005   -1.086e-003
   21      21.000s    1.034e-003    5.659e-005   -9.770e-004
   22      22.000s    4.638e-003    3.461e-005   -4.604e-003
   23      23.000s    4.547e-003    2.117e-005   -4.526e-003
   24      24.000s    1.336e-003    1.295e-005   -1.323e-003
   25      25.000s    1.379e-003    7.919e-006   -1.371e-003
   26      26.000s    4.261e-003    4.843e-006   -4.256e-003
   27      27.000s    4.342e-003    2.962e-006   -4.339e-003
   28      28.000s    1.968e-003    1.812e-006   -1.967e-003
   29      29.000s    2.308e-003    1.108e-006   -2.307e-003
   30      30.000s    5.384e-003    6.777e-007   -5.384e-003

============================================================

