SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack05_RCM_161214/310/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.874e+000    9.726e-001  
T     =       1.692s       27.898m  

RSS   =   2.913e-002
SD    =   3.116e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.038e+000    3.793e-002
    2       2.000s    6.832e-001    5.748e-001   -1.084e-001
    3       3.000s    3.057e-001    3.183e-001    1.259e-002
    4       4.000s    8.505e-002    1.762e-001    9.119e-002
    5       5.000s    4.703e-002    9.760e-002    5.057e-002
    6       6.000s    6.531e-002    5.404e-002   -1.127e-002
    7       7.000s    5.286e-002    2.993e-002   -2.294e-002
    8       8.000s    3.062e-002    1.657e-002   -1.405e-002
    9       9.000s    3.316e-002    9.177e-003   -2.398e-002
   10      10.000s    4.196e-002    5.082e-003   -3.688e-002
   11      11.000s    3.183e-002    2.814e-003   -2.901e-002
   12      12.000s    1.643e-002    1.558e-003   -1.487e-002
   13      13.000s    1.564e-002    8.629e-004   -1.478e-002
   14      14.000s    1.969e-002    4.778e-004   -1.921e-002
   15      15.000s    1.322e-002    2.646e-004   -1.295e-002
   16      16.000s    4.305e-003    1.465e-004   -4.159e-003
   17      17.000s    5.355e-003    8.114e-005   -5.274e-003
   18      18.000s    9.163e-003    4.493e-005   -9.118e-003
   19      19.000s    4.949e-003    2.488e-005   -4.924e-003
   20      20.000s    -1.045e-003    1.378e-005    1.059e-003
   21      21.000s    7.049e-004    7.630e-006   -6.973e-004
   22      22.000s    4.892e-003    4.225e-006   -4.888e-003
   23      23.000s    3.147e-003    2.340e-006   -3.144e-003
   24      24.000s    -7.544e-005    1.296e-006    7.673e-005
   25      25.000s    2.181e-003    7.174e-007   -2.180e-003
   26      26.000s    5.473e-003    3.973e-007   -5.473e-003
   27      27.000s    3.518e-003    2.200e-007   -3.518e-003
   28      28.000s    7.341e-004    1.218e-007   -7.340e-004
   29      29.000s    3.283e-003    6.746e-008   -3.283e-003
   30      30.000s    7.359e-003    3.736e-008   -7.359e-003

============================================================

