SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2.3/data/nmrsu/nmr/ALZ_Urine_Rack02_RCM_231214/732/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 114 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.434e+000    -2.862e-003  
T     =       3.277s      200.737s  

RSS   =   2.127e-002
SD    =   2.663e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.054e+000    5.414e-002
    2       2.000s    8.114e-001    7.762e-001   -3.517e-002
    3       3.000s    6.179e-001    5.713e-001   -4.651e-002
    4       4.000s    4.698e-001    4.204e-001   -4.942e-002
    5       5.000s    3.414e-001    3.091e-001   -3.231e-002
    6       6.000s    2.094e-001    2.271e-001    1.770e-002
    7       7.000s    1.038e-001    1.667e-001    6.283e-002
    8       8.000s    5.832e-002    1.221e-001    6.380e-002
    9       9.000s    5.472e-002    8.929e-002    3.458e-002
   10      10.000s    5.078e-002    6.510e-002    1.432e-002
   11      11.000s    3.510e-002    4.728e-002    1.218e-002
   12      12.000s    2.354e-002    3.415e-002    1.061e-002
   13      13.000s    2.077e-002    2.447e-002    3.700e-003
   14      14.000s    1.627e-002    1.734e-002    1.076e-003
   15      15.000s    8.412e-003    1.209e-002    3.682e-003
   16      16.000s    5.939e-003    8.229e-003    2.290e-003
   17      17.000s    8.994e-003    5.383e-003   -3.611e-003
   18      18.000s    9.039e-003    3.289e-003   -5.750e-003
   19      19.000s    5.241e-003    1.749e-003   -3.492e-003
   20      20.000s    4.499e-003    6.174e-004   -3.881e-003
   21      21.000s    7.225e-003    -2.133e-004   -7.438e-003
   22      22.000s    7.347e-003    -8.222e-004   -8.169e-003
   23      23.000s    4.764e-003    -1.268e-003   -6.031e-003
   24      24.000s    5.140e-003    -1.593e-003   -6.733e-003
   25      25.000s    8.566e-003    -1.829e-003   -1.040e-002
   26      26.000s    9.703e-003    -2.000e-003   -1.170e-002
   27      27.000s    8.289e-003    -2.123e-003   -1.041e-002
   28      28.000s    9.413e-003    -2.210e-003   -1.162e-002
   29      29.000s    1.394e-002    -2.271e-003   -1.621e-002
   30      30.000s    1.761e-002    -2.313e-003   -1.993e-002

============================================================

